match_id,date,season,tournament_name,is_worldcup,match_stage,team1,team2,venue,city,toss_winner,toss_decision,winner,result_type,format,innings1_team,innings1_runs,innings1_wkts,innings1_overs,innings2_team,innings2_runs,innings2_wkts,innings2_overs,year,month,batting_first,chasing_team,first_innings_score,second_innings_score,match_result,elo_team1,elo_team2,elo_diff,team1_form_5,team2_form_5,team1_form_10,team2_form_10,h2h_win_pct
1717956402,2024-01-05,2024,Australia Women tour of India,0,Unknown,Australia,India,"Dr DY Patil Sports Academy, Mumbai",Navi Mumbai,India,field,India,unknown,T20,Australia,141,10,20.2,India,145,1,18.3,2024,1,Australia,India,141.0,145.0,completed,1751.42124820594,1738.27034599636,13.1509022095834,0.2,0.4,0.5,0.6,0.545454545454545
8008678996,2024-01-07,2024,Australia Women tour of India,0,Unknown,India,Australia,"Dr DY Patil Sports Academy, Mumbai",Navi Mumbai,Australia,field,Australia,unknown,T20,India,130,8,20.7,Australia,133,4,19.7,2024,1,India,Australia,130.0,133.0,completed,1754.87567836034,1734.81591584197,20.0597625183664,0.6,0.2,0.6,0.4,0.478260869565217
4079658659,2024-01-09,2024,Australia Women tour of India,0,Unknown,India,Australia,"Dr DY Patil Sports Academy, Mumbai",Navi Mumbai,Australia,field,Australia,unknown,T20,India,147,6,20.5,Australia,149,3,19.0,2024,1,India,Australia,147.0,149.0,completed,1737.95291727697,1751.73867692534,-13.78575964837,0.6,0.4,0.5,0.4,0.458333333333333
5035426271,2024-01-12,2024,Pakistan tour of New Zealand,0,Unknown,New Zealand,Pakistan,"Eden Park, Auckland",Auckland,Pakistan,field,New Zealand,unknown,T20,New Zealand,226,8,21.0,Pakistan,180,10,18.8,2024,1,New Zealand,Pakistan,226.0,180.0,completed,1640.00457359366,1607.8461265258,32.158447067864,0.5,0.6,0.5,0.4,0.466666666666667
-408780784,2024-01-14,2024,Pakistan tour of New Zealand,0,Unknown,New Zealand,Pakistan,"Seddon Park, Hamilton",Hamilton,Pakistan,field,New Zealand,unknown,T20,New Zealand,194,9,21.2,Pakistan,173,10,19.8,2024,1,New Zealand,Pakistan,194.0,173.0,completed,1654.52783716137,1593.32286295809,61.20497420328,0.7,0.6,0.5,0.4,0.5
6779475779,2024-01-14,2024,Zimbabwe tour of Sri Lanka,0,Unknown,Zimbabwe,Sri Lanka,"R Premadasa Stadium, Colombo",Colombo,Sri Lanka,field,Sri Lanka,unknown,T20,Zimbabwe,143,5,20.3,Sri Lanka,144,7,20.5,2024,1,Zimbabwe,Sri Lanka,143.0,144.0,completed,1677.23593841804,1630.45668953194,46.7792488861005,0.8,0.8,0.8,0.6,0.5
2881305432,2024-01-16,2024,Zimbabwe tour of Sri Lanka,0,Unknown,Sri Lanka,Zimbabwe,"R Premadasa Stadium, Colombo",Colombo,Zimbabwe,field,Zimbabwe,unknown,T20,Sri Lanka,173,6,20.5,Zimbabwe,178,6,21.0,2024,1,Sri Lanka,Zimbabwe,173.0,178.0,completed,1648.59802952407,1659.09459842591,-10.4965689018431,0.8,0.8,0.6,0.7,1.0
3690162369,2024-01-17,2024,Pakistan tour of New Zealand,0,Unknown,New Zealand,Pakistan,"University Oval, Dunedin",Dunedin,Pakistan,field,New Zealand,unknown,T20,New Zealand,224,7,21.3,Pakistan,179,7,20.7,2024,1,New Zealand,Pakistan,224.0,179.0,completed,1667.73804304024,1580.11265707922,87.6253859610142,0.7,0.4,0.55,0.4,0.529411764705882
1031066674,2024-01-18,2024,Zimbabwe tour of Sri Lanka,0,Unknown,Zimbabwe,Sri Lanka,"R Premadasa Stadium, Colombo",Colombo,Sri Lanka,field,Sri Lanka,unknown,T20,Zimbabwe,82,10,14.2,Sri Lanka,88,1,10.8,2024,1,Zimbabwe,Sri Lanka,82.0,88.0,completed,1674.61136057853,1633.08126737146,41.5300932070732,0.8,0.6,0.7,0.6,0.5
-373908865,2024-01-19,2024,Pakistan tour of New Zealand,0,Unknown,Pakistan,New Zealand,"Hagley Oval, Christchurch",Christchurch,New Zealand,field,New Zealand,unknown,T20,Pakistan,158,5,21.0,New Zealand,159,3,18.8,2024,1,Pakistan,New Zealand,158.0,159.0,completed,1568.06451849003,1679.78618162943,-111.721663139409,0.2,0.9,0.3,0.55,0.444444444444444
-673185933,2024-01-21,2024,Pakistan tour of New Zealand,0,Unknown,Pakistan,New Zealand,"Hagley Oval, Christchurch",Christchurch,Pakistan,bat,Pakistan,unknown,T20,Pakistan,134,8,20.0,New Zealand,92,10,17.3,2024,1,Pakistan,New Zealand,134.0,92.0,completed,1557.03919878017,1690.81150133929,-133.772302559126,0.0,1.0,0.3,0.65,0.421052631578947
5583854038,2024-01-26,2024,Ireland Women tour of Zimbabwe,0,Unknown,Ireland,Zimbabwe,Harare Sports Club,Harare,Ireland,bat,Ireland,unknown,T20,Ireland,191,3,21.3,Zimbabwe,134,5,21.8,2024,1,Ireland,Zimbabwe,191.0,134.0,completed,1564.07461046598,1656.70788621855,-92.6332757525722,0.6,0.6,0.6,0.6,0.571428571428571
-353331646,2024-01-27,2024,South Africa Women tour of Australia,0,Unknown,South Africa,Australia,"Manuka Oval, Canberra",Canberra,Australia,field,Australia,unknown,T20,South Africa,147,6,21.0,Australia,149,2,19.8,2024,1,South Africa,Australia,147.0,149.0,completed,1588.05950403241,1767.10415219399,-179.044648161579,0.5,0.4,0.4,0.4,0.0
